185.27	141.05	165.34	128.22	132.11	114.7	141.4	176.94	140.02	140.73
178.16	142.55	186.57	149.04	116.17	130.46	140.9	165.05	153.49	137.63
524.39	350.78	499.59	261.65	285.94	267.27	384.49	290.87	421.48	261.93
408.25	344.09	319.17	396.53	256.18	348.5	291.23	302.87	287.63	337.01
88.202	66.956	74.427	64.652	65.656	65.139	92.819	57.162	76.563	56.42
111.74	62.319	88.87	93.09	93.049	87.626	98.846	62.799	82.257	65.926
117.57	151.95	110.89	122.48	138.01	119.14	160.32	108.59	142.77	102.38
157.3	179.94	214.93	185.09	178.91	141.8	219.9	151.53	178.2	159.19
113.24	74.028	84.487	110.88	83.409	87.341	90.84	75.682	83.066	101.12
92.586	61.7	87.083	69.713	68.247	57.17	85.94	66.638	73.896	72.649
177.54	145.92	167.46	140.89	119.48	97.207	147.22	116.17	139.41	112.22
118.92	110.47	177.35	187.86	168.8	150.42	209.97	166.77	185.94	172.19
96.138	69.444	77.195	113.51	96.435	112.9	119.18	116.26	107.5	149.31
98.229	98.139	125.58	113.08	101.36	113.66	108.87	113.02	128.48	106.65
98.812	111.03	180.68	166.32	188.46	175.78	223.58	168.79	213.05	198.11
137.4	117.27	136	169.27	139.08	154.09	162.82	126.53	153.83	169.11
133.04	104.63	112.38	142.61	111.58	117.41	127.23	98.202	120.66	146.61
74.024	64.796	75.852	83.669	92.435	91.474	110.59	86.067	92.945	98.357
134.79	85.099	103.35	100.52	108.29	86.446	112.61	88.632	106.71	87.197
118.94	96.947	114.2	121.53	110.11	99.244	119.4	101.38	117.48	97.952
68.289	60.465	86.004	92.929	85.568	86.448	97.387	87.524	91.544	67.604
79.097	57.789	81.278	83.674	72.06	52.439	76.244	67.995	83.216	56.68
87.744	79.595	109.72	103.46	79.938	81.051	95.653	81.359	89.327	78.935
114.32	90.784	102.54	112.75	86.289	81.584	118.15	100.08	114.29	99.167
82.385	60.307	78.521	73.278	62.249	62.48	83.913	58.179	69.958	68.74
68.476	65.016	79.407	74.787	68.271	68.493	79.851	66.373	78.64	81.783
80.023	75.386	87.652	70.738	81.518	80.388	98.238	71.465	85.597	91.939
95.746	85.313	84.219	92.962	89.055	85.414	103.46	84.174	91.321	96.116
76.907	66.34	69.359	88.673	73.593	78.852	84.304	59.557	79.71	78.24
71.447	54.321	70.745	69.824	66.959	66.103	79.533	62.546	64.504	68.22
77.861	75.421	74.579	77.995	86.393	71.497	95.154	63.55	74.214	74.167
89.133	67.804	93.211	91.744	79.347	75.659	98.919	86.158	100.25	82.007
92.997	64.184	82.691	84.288	78.938	80.376	96.046	83.16	104.87	91.279
61.551	53.833	64.676	67.306	69.027	50.456	68.152	60.275	78.343	72.14
82.608	64.782	90.051	78.656	81.44	76.842	86.208	78.543	85.131	79.643
87.59	70.009	88.705	86.321	80.106	70.445	81.154	73.395	96.687	88.046
71.771	59.78	87.02	90.237	78.016	77.084	91.309	72.648	90.769	81.728
82.222	53.991	64.714	74.515	69.291	66.531	68.988	57.518	66.636	66.992
63.575	57.165	67.45	64.689	62.196	57.551	74.047	59.583	74.968	71.558
79.913	63.514	104.31	110.4	84.393	76.658	114.93	74.583	106	105.46
103.63	53.077	72.661	74.249	64.662	58.129	106.41	70.863	77.74	76.704
64.434	51.973	72.879	67.475	59.509	70.622	77.038	60.63	72.19	59.245
66.997	57.556	75.74	73.102	69.683	63.172	82.574	65.276	64.855	66.598
76.909	70.825	127.81	108.66	112.63	77.071	139.15	84.955	102.7	94.213
143.8	110.76	120.43	137.55	102.7	108.11	128.02	91.695	99.713	88.973
56.704	61.049	87.759	60.249	54.542	74.128	97.257	77.318	98.931	81.424
92.765	97.113	83.765	106.35	107.21	68.282	114.1	77.008	93.194	78.925
119.28	73.961	84.447	85.613	75.768	78.497	101.63	72.616	104.32	83.393
77.098	56.557	88.996	85.245	85.243	91.921	100.74	86.052	90.832	90.368
78.6	48.042	60.762	69.575	53.614	57.815	61.914	59.934	72.1	65.203
64.652	58.9	74.414	70.03	68.7	56.303	77.117	58.818	68.742	63.378
104.54	64.438	87.523	99.233	93.461	69.053	105.45	71.943	89.377	79.072
77.135	61.069	67.471	76.001	71.072	63.985	68.959	74.976	70.813	64.835
62.786	59.734	77.184	81.09	61.625	59.734	86.279	62.424	75.635	62.149
77.417	48.878	58.233	58.526	61.123	61.528	75.375	51.663	53.446	56.566
83.592	71.301	116.89	102.4	89.872	90.518	132.15	90.553	83.368	84.03
93.693	77.381	79.71	88.511	77.788	89.708	106.09	76.717	84.238	100.26
